D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployment_fixed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,148.00,148.00,55079011100,51.00,71.00,0.10,532.81,25.00,741.75,85.20,55079011100,55079011100,1547.00,0.02,0.15,0.16,0.31,0.02,0.03,0.13,0.03,0.03,0.26,0.67,0.26,0.56,7344.58,2668485.86,-1.39,-0.14,-1.94,1.52
 ,149.00,149.00,55079000400,45.00,55.00,0.93,48.38,80.00,59.14,161.00,55079000400,55079000400,2527.00,0.04,0.05,0.21,0.07,0.50,0.01,0.05,0.05,0.14,0.23,0.17,0.58,0.85,20917.76,25928206.89,0.50,-0.37,-0.32,-1.05
 ,150.00,150.00,55079020600,23.00,55.00,0.51,44.92,15.20,107.41,46.80,55079020600,55079020600,3695.00,0.03,0.07,0.62,0.31,0.19,0.07,0.03,0.15,0.02,0.10,0.28,0.24,0.90,15952.09,14275314.48,-0.78,-0.28,0.79,-0.88
 ,151.00,151.00,55079185600,63.00,77.00,0.26,241.37,60.14,295.01,51.57,55079185600,55079185600,1628.00,0.07,0.14,0.29,0.20,0.20,0.08,0.01,0.04,0.12,0.33,0.31,0.49,0.85,10608.74,7276563.03,0.53,-0.71,-0.12,0.89
 ,152.00,152.00,55079185700,84.00,70.00,0.26,325.14,70.86,270.95,59.43,55079185700,55079185700,2037.00,0.21,0.13,0.26,0.06,0.54,0.19,0.02,0.04,0.09,0.48,0.10,0.30,0.74,10740.36,7202285.70,1.96,-0.96,-0.40,0.58
 ,153.00,153.00,55079006000,106.00,94.00,0.16,662.77,98.86,587.74,109.71,55079006000,55079006000,2543.00,0.06,0.11,0.28,0.02,0.41,0.10,0.02,0.06,0.15,0.28,0.12,0.21,0.72,8674.30,4458691.08,0.89,-0.55,-0.57,-0.27
 ,154.00,154.00,55079013400,110.00,73.00,0.21,530.73,81.00,352.21,81.00,55079013400,55079013400,2234.00,0.05,0.14,0.18,0.11,0.52,0.04,0.09,0.16,0.17,0.44,0.05,0.69,0.74,10259.86,5778078.02,1.30,0.08,-0.62,0.50
 ,155.00,155.00,55079012300,66.00,64.00,0.30,222.26,80.50,215.52,62.50,55079012300,55079012300,1031.00,0.03,0.07,0.24,0.05,0.68,0.05,0.07,0.14,0.10,0.32,0.05,0.41,0.79,11823.87,8278608.41,0.60,0.06,-0.53,-1.11
 ,156.00,156.00,55079012200,86.00,96.00,0.19,446.83,85.71,498.78,62.57,55079012200,55079012200,2082.00,0.08,0.06,0.29,0.13,0.26,0.08,0.21,0.05,0.19,0.45,0.12,0.69,0.79,9343.63,5365676.76,1.14,0.29,-0.16,-0.20
 ,157.00,157.00,55079006600,125.00,94.00,0.36,342.88,93.40,257.85,71.10,55079006600,55079006600,2546.00,0.12,0.00,0.37,0.06,0.54,0.13,0.04,0.05,0.18,0.43,0.05,0.13,0.79,14772.80,10163310.00,1.82,-0.84,0.29,-1.49
 ,158.00,158.00,55079006800,76.00,76.00,0.22,340.11,106.83,340.11,78.00,55079006800,55079006800,2386.00,0.07,0.14,0.29,0.08,0.49,0.12,0.02,0.02,0.20,0.39,0.08,0.09,0.72,15707.41,6229672.50,1.47,-0.72,-0.39,0.38
 ,159.00,159.00,55079000200,125.00,114.00,3.05,40.95,72.00,37.35,73.60,55079000200,55079000200,5073.00,0.06,0.14,0.17,0.14,0.52,0.13,0.13,0.19,0.09,0.37,0.13,0.57,0.82,42690.13,85088433.75,0.64,0.44,-0.58,0.44
 ,160.00,160.00,55079003000,100.00,129.00,0.51,197.37,102.63,254.61,111.00,55079003000,55079003000,4298.00,0.07,0.08,0.64,0.22,0.40,0.06,0.04,0.06,0.06,0.18,0.13,0.45,0.86,16157.63,14124570.37,0.14,-0.48,0.83,-0.95
 ,161.00,161.00,55079000700,93.00,99.00,1.51,61.49,90.25,65.45,111.50,55079000700,55079000700,3560.00,0.01,0.10,0.57,0.22,0.29,0.04,0.08,0.02,0.04,0.21,0.20,0.55,0.84,26514.99,42167620.05,-0.21,-0.25,0.50,-0.31
 ,162.00,162.00,55079000800,135.00,123.00,1.17,115.14,105.75,104.91,120.50,55079000800,55079000800,4844.00,0.03,0.11,0.47,0.18,0.29,0.07,0.04,0.05,0.07,0.14,0.25,0.53,0.82,25014.10,32685550.42,-0.01,-0.46,0.30,-0.03
