D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,131,131,55079021300,16,21,.4887763213,32.7348099793,33.1666667,42.9644380978,72.8333333,55079021300,55079021300,1699,.01417525773,.125,.35180412371,.15979381443,.14545454546,.47186440678,.13184226015,.19835197175,.02319587629,.10051546392,.174835406,.42242970192,.86286050618,15602.9418158,13626247.2886,-.307474679891422,.549758580625769,.170286921823446,.131387977823526
 ,132,132,55079018900,11,42,.23938186796,45.9516842007,51,175.45188513,101.8333333,55079018900,55079018900,1983,.01420959147,.1388261851,.59680284192,.36234458259,.11835748792,.24754901961,.31064044377,.67221381745,.02131438721,.1918294849,.159069767,.10073115175,.9243570348,13141.7693586,6673556.77274,-1.07310780766429,2.61663118412567,.655597099190768,.161409488812989
 ,133,133,55079185500,115,80,.34122289376,337.023107487,66.5,234.450857382,55.875,55079185500,55079185500,1790,.06310679612,.12248628885,.2427184466,.09708737864,.51960784314,.40333919156,.00837988827,.00446927374,.17961165049,.43851132686,.096982759,.05393308573,.69671201814,13478.4500065,9512710.26915,1.24389380002389,-.787098079123911,-.717067993736593,.177067752534953
 ,134,134,55079186000,61,44,.22487688087,271.259543283,56,195.662621385,61.2,55079186000,55079186000,1550,.02342786683,.06345733042,.11097410604,.07151664612,.4214559387,.53666146646,.00322580645,.03483870968,.20715166461,.46485819975,.152896486,.32254734651,.73324658426,11020.3025097,6269182.55808,1.24882946817906,-.743030028361833,-.772689429660788,-.307885753569835
 ,135,135,55079007800,41,126,.25103896869,163.321257308,23.1428571,501.914107824,78.5714286,55079007800,55079007800,3608,.01314828342,.11880804954,.23301680058,.27100073046,.0390625,.2253440367,.12444567628,.08841463415,.04821037253,.40978816655,.517491749,.38470273929,.52457650653,11388.2934652,6998536.78968,-1.05993575269457,.0667437519992732,-1.91839755282985,.831517772791387
 ,136,136,55079010700,46,112,.23645119785,194.543315565,26.625,473.670681375,68,55079010700,55079010700,2505,0,.12711402073,.44384057971,.41576086957,.1138952164,.12661737523,.03952095808,.16407185629,.02173913043,.07699275362,.552766686,.44909749364,.76537216828,11823.9227957,6591854.70594,-1.60649971407443,-.249862679620008,-.325949544281685,.497498708338241
 ,137,137,55079014100,41,63,.25675554983,159.684961151,54.8333333,245.369574452,84.5,55079014100,55079014100,1562,.07962213225,.19444444444,.01349527665,.0310391363,.70105820106,.39946619217,.02752880922,.06402048656,.09176788124,.47233468286,.159259259,.35100891696,.8457106274,12147.6295134,7157905.28775,1.58459794829097,-.417718852619151,-.818217710723267,1.4517027269706
 ,138,138,55079021100,9,28,.24799178417,36.2915248595,19.5,112.906966229,48,55079021100,55079021100,1405,.02985074627,.06578947368,.63847429519,.30182421227,.184,.31898066784,.06832740214,.1537366548,.06135986733,.06301824212,.297376093,.24110636897,.90981240981,10532.0295841,6913586.50037,-.595829577584009,-.166094080476255,1.0213945075333,-.766091777669632
 ,139,139,55079021400,41,64,.49531425152,82.7757325261,16.4,129.210899553,29,55079021400,55079021400,3646,.01976005646,.05283018868,.27311220889,.16725476358,.27578215527,.38410104012,.10806363138,.33543609435,.09174311927,.29992942837,.124944617,.56497423216,.84743875278,15684.0492197,13808513.5935,.0040758204754648,.685397978535765,-.19159791974969,-.913679828659275
 ,140,140,55079021600,36,74,1.42851308133,25.2010292874,24.8,51.8021157574,46.2,55079021600,55079021600,4933,.02333931777,.03114676734,.69180131658,.30101735488,.16191275168,.39201500536,.27934319886,.22947496452,.07719928187,.20825852783,.159898477,.32416998771,.82652849741,25392.9069332,39824499.783,-.514943405841389,1.1676806121647,.849499201559195,-1.2354979628466
