D_R	poly_id	objectid	geoid	Violent	Property	SqMi	VCdensity	vclag	PCdensity	pclag	TractID	Id2	Total_Pop	PAIProp	OccuProp	OwnerProp	MandFHH_ch	ForeignPro	EthnHerter	HispProp	Unemployed_Fixed	Inc75K_	BAup	SSIProp	BelowProp	SameProp	Shape_Leng	Shape_Area	FAC1_1	FAC2_1	FAC3_1
 	701	701	17031831400	119	143	0.81247432	146.4661678	99.75	176.0055629	137.875	17031831400	17031831400	3000	0.053774561	0.143505904	0.411582213	0.28290469	0.097666667	0.541595667	0.239333333	0.057428215	0.20475698	0.145708583	0.108583247	0.202688728	0.826421405	23969.93666	22650393.47	0.641968049	-0.338124886	0.185336252
 	702	702	17031831500	25	191	0.373843801	66.87284891	31.6666667	510.9085656	90.2222222	17031831500	17031831500	3540	0.044351464	0.154258168	0.641004184	0.255292653	0.384463277	0.444623911	0.648022599	0.052294557	0.4	0.210873147	0.041841004	0.160669456	0.95888064	18126.43581	10422125.32	-0.128526261	1.223148795	0.823711959
 	703	703	17031831600	39	120	0.574844394	67.84444699	23.3333333	208.7521446	128.6666667	17031831600	17031831600	7574	0.045492142	0.092066601	0.482216708	0.102792632	0.219831001	0.589907421	0.675600739	0.050099867	0.291149711	0.130246914	0.071960298	0.165839537	0.908260524	17079.69564	16025677.84	0.28952304	0.886681548	0.786414366
 	704	704	17031831700	25	185	0.205516491	121.6447396	22.1428571	900.1710727	76	17031831700	17031831700	2365	0.039540816	0.128630705	0.515306122	0.127701375	0.329386892	0.55757099	0.612262156	0.090659341	0.386479592	0.336134454	0.026785714	0.229591837	0.858793325	14195.82332	5729448.019	-0.299483309	1.16397739	0.055301879
 	705	705	17031831800	34	152	0.734981619	46.25966024	18.75	206.8078929	84	17031831800	17031831800	6418	0.033472803	0.05385302	0.452347745	0.126068376	0.401526955	0.586617827	0.242287317	0.040100736	0.415620642	0.497412982	0.013482101	0.153881915	0.851547694	19517.69636	20490029.62	-0.394617374	0.81179355	0.166527762
 	706	706	17031831900	10	55	0.125225473	79.8559571	5.8	439.2077641	48.9	17031831900	17031831900	2818	0.006354249	0.306728538	0.417791898	0.019277108	0.087295955	0.206473794	0.070617459	0.014303744	0.724384432	0.848142924	0	0.046068308	0.738583243	7900.337102	3491071.862	-2.009820861	-0.78799788	-0.876282207
 	707	707	17031832000	23	125	0.064706803	355.4494895	18.6666667	1931.790704	95.1111111	17031832000	17031832000	1799	0.010948905	0.280054645	0.407542579	0.044117647	0.0967204	0.183283221	0.065036131	0.029691211	0.653284672	0.807153966	0.013381995	0.131386861	0.739448509	7213.948958	1803914.913	-1.663961576	-0.728546521	-0.944955985
 	708	708	17031832100	22	87	0.08574981	256.5603359	28.125	1014.57951	121.125	17031832100	17031832100	3234	0.010989011	0.251219512	0.272990168	0.287015945	0.136363636	0.414867122	0.085961657	0.044197031	0.473105842	0.68790397	0.022556391	0.140543667	0.729147142	6338.788802	2390557.935	-1.018008319	-0.368710914	-1.492789489
 	709	709	17031832200	19	81	0.154344692	123.1010912	21.8	524.7993888	163.6	17031832200	17031832200	3397	0	0.242018982	0.330857529	0.127697842	0.123638505	0.302769097	0.189284663	0.017504655	0.56043214	0.741162608	0.004051317	0.07359892	0.755219365	10659.61932	4302865.848	-1.45442766	-0.242895705	-1.032624688
 	710	710	17031832300	16	156	0.324396034	49.32242798	25.5555556	480.8936728	199.6666667	17031832300	17031832300	2111	0	0.252475248	0.42247191	0.028697572	0.142586452	0.329026343	0.252486973	0.01362862	0.668539326	0.725796377	0.017977528	0.066292135	0.800589391	13849.85466	9043606.205	-1.570790215	-0.294560928	-0.388040868
 	711	711	17031832400	25	92	0.124733491	200.4273262	18.6	737.5725605	81	17031832400	17031832400	2926	0.009220453	0.297369834	0.538977368	0.046125461	0.209842789	0.377199095	0.318865345	0.030278884	0.653813915	0.639647577	0.01424979	0.05364627	0.769338467	7936.40925	3477356.233	-1.552840002	-0.107710977	-0.240013021
 	712	712	17031832500	25	201	0.302326516	82.69205202	17	664.8440983	158.125	17031832500	17031832500	3732	0.036144578	0.297674419	0.479801559	0.118343195	0.081993569	0.200541951	0.081457663	0.050345508	0.622962438	0.715724923	0.026222537	0.154500354	0.768259198	13286.08311	8428345.833	-1.128680497	-1.033003408	-0.34672886
 	713	713	17031832600	23	240	0.278629753	82.54681962	29	861.3581178	253	17031832600	17031832600	3728	0.007109005	0.355957768	0.514218009	0.058282209	0.097103004	0.210285535	0.041309013	0.015350877	0.777251185	0.912369275	0	0.069905213	0.738244088	13208.36074	7767720.647	-2.05488603	-1.077277769	-0.655410035
 	714	714	17031832900	12	56	0.154943483	77.44759439	35.6666667	361.4221071	138.3333333	17031832900	17031832900	2381	0	0.155617585	0.352683461	0.116981132	0.145737085	0.383288462	0.084838303	0.077813803	0.419496166	0.862891207	0	0.358159912	0.58858351	8744.143294	4319559.109	-0.852117491	-0.328284659	-1.69380878
 	715	715	17031833000	88	729	0.506570579	173.7171555	41	1439.088708	229.7	17031833000	17031833000	3567	0.010028653	0.274329783	0.388252149	0	0.091393328	0.40435214	0.079618727	0.048244275	0.698662846	0.825618263	0.020534862	0.155682904	0.669189795	16007.96417	14122320.73	-1.710726987	-0.768025056	-1.201753186
 	716	716	17031833100	58	325	0.356062585	162.8927117	66.4285714	912.7608843	359	17031833100	17031833100	7441	0.011518325	0.252226809	0.628795812	0.074914089	0.118532455	0.484246714	0.089235318	0.017351162	0.681937173	0.750856583	0.028272251	0.135340314	0.813734973	14352.96305	9926415.464	-1.390126042	-0.89873874	0.25683712
 	717	717	17031833300	20	54	0.1844958	108.4035516	63.5	292.6895893	244.5	17031833300	17031833300	2646	0.004587156	0.191595442	0.365825688	0.01986755	0.270597128	0.595336362	0.08994709	0.049253129	0.377293578	0.732093023	0.005733945	0.366972477	0.629784009	9997.405397	5143427.143	-0.699396152	-0.010329292	-1.344935539
 	718	718	17031833900	53	77	0.272870531	194.2313072	46.6666667	282.1851067	74.1666667	17031833900	17031833900	2441	0.086727989	0.075657895	0.315374507	0.325463744	0.154035231	0.515291733	0.4182712	0.121245221	0.105124836	0.063246662	0.178712221	0.340341656	0.925465839	15484.74031	7607163.391	1.363927807	0.203130988	0.077427723
 	719	719	17031834000	50	81	0.380638188	131.3583387	59.8888889	212.8005086	152.3333333	17031834000	17031834000	2956	0.084651163	0.135181976	0.165581395	0.277429467	0.007104195	0.079388657	0.021989175	0.110095555	0.184186047	0.132121807	0.129302326	0.265116279	0.884523403	17513.41407	10611541.21	0.930379756	-0.824508289	-0.301089721
 	720	720	17031834200	164	303	0.376640522	435.4284538	70.4444444	804.480619	134.3333333	17031834200	17031834200	4310	0.046275395	0.138515488	0.338600451	0.292783505	0.030162413	0.046047233	0.008816705	0.092019059	0.312641084	0.248620816	0.075620767	0.313769752	0.831858407	14414.73631	10500093.12	0.441774436	-0.821518852	-0.192184447
 	721	721	17031834300	112	240	0.738119544	151.7369387	87.875	325.1505829	161.125	17031834300	17031834300	6384	0.013007489	0.069282946	0.649980292	0.240784314	0.018796992	0.061373157	0.010338346	0.085649887	0.268427276	0.258181818	0.109578242	0.280646433	0.923163479	20009.54386	20577509.58	0.554346924	-1.059778597	1.416152448
 	722	722	17031834400	73	156	0.226099499	322.866704	49.6666667	689.9617236	89.1666667	17031834400	17031834400	4487	0.046856465	0.094002307	0.365954923	0.465872156	0.03788723	0.105253127	0.007577446	0.077718676	0.31257414	0.287591241	0.116251483	0.24970344	0.932142049	10359.84247	6303267.058	0.745476959	-0.942782785	0.35950959
 	723	723	17031834500	27	69	0.179209411	150.6617308	76.1111111	385.0244231	123.1111111	17031834500	17031834500	1273	0.0554371	0.030898876	0.153518124	0.457831325	0.008641006	0.043506781	0	0.156355456	0.12793177	0.23255814	0.168443497	0.313432836	0.809943865	15175.2344	4996051.652	1.339524938	-0.850932367	-0.592811496
